what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333164481620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333164481999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333164483733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333164489697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333164494029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333164496767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333164497070
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333164497422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333164497822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333164499041
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1333164502116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164506557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164518755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333164523642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333164525638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164530025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164553826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333164562089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333164565216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333164566136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333164568441
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333164575005
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1333164575159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333164585431
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1333164587797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164590874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164591814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164595612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164605585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164610352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164616126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333164620945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333164627051
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333164630310
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1333164631298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164637559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164640475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164646345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164864088
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333164868016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164891444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164924419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164925827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164927025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164928586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164929763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333164931671
